RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525.736039,2538.021238,2596.481793,2572.876949,,2517.500013,2687.257992,2783.781588,2949.859498,2839.05522,2805.460813,2780.27848,2832.950665,2830.499622,2876.450539,2929.54671,,2889.24978,2899.416667
96193,13,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866.895369,1879.557593,,1964.08173,1967.243813,1992.956824,1990.911719,1996.685972,2002.364461,2006.833762,1996.017769,2019.825248,1999.176439,1990.027823,2004.173912,2033.312157,2065.281665,2048.75383,2057.960443,2079.924162,2091.947607,2093.601642,2136.171467,2153.221721,2201.622595,2169.881373,2178.647213,2172.785836,2194.05706,2235.235882,2288.77184,2319.146653,2270.124543,2306.902635,2330.066131,2407.946921,2392.076427,2435.508134,2458.474315,2460.578609,2477.638092,2493.986595,2533.083264,2517.806452,2518.944332,2540.920857,2550.680231,2523.46497,2525.314323,2523.024317,2572.033938,2569.448344,2677.594661,2716.041328,2727.50092,2648.025919,2639.541848,2644.999726,2652.62512,2666.723066,2673.365651,2685.101141,2676.769623,2710.360114,2730.430859,2786.588338,2752.497595,2749.787485,2702.386004,2709.809751,2712.246032
96025,22,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801.593701,1792.361891,1816.552145,1777.119072,1837.130453,1843.205145,1842.047778,1800.948204,1780.491896,1796.202032,1851.960847,1888.821411,1921.962829,1924.481789,1946.925193,1944.240715,1907.544384,1899.306501,1938.216316,2016.995634,2081.306909,2087.600973,2032.544744,2046.655489,2096.07948,2191.912094,2232.08792,2207.73234,2166.047831,2187.386529,2222.320516,2254.858408,2232.428374,2246.880378,2260.98391,2371.016338,2364.393721,2396.518618,2364.352613,2372.432147,2407.347251,2407.641643,2391.869319,2420.037535,2445.407933,2473.655069,2434.129294,2461.349416,2563.37253,2625.277778
96817,23,92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724.260788,2737.630656,2749.343258,2795.508442,2911.663387,2932.283001,2968.992112,2932.443802,2962.897994,2960.409379,2978.134235,2992.099452,3016.050408,3087.673654,3096.462456,3092.414953,3034.884403,3038.131844,3065.240295,3064.98148,3157.170483,3197.602814,3243.760545,3200.742769,3211.273838,3207.754904,3144.406101,3134.18902,3147.874255,3153.975818,3165.97691,3189.260975,3242.030551,3232.491191,3247.978331,3272.342586,3289.695618,3296.344598,3257.196429
97771,24,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,1364.586749,1357.237615,1374.362544,1356.67786,1366.666694,1381.554499,1408.266819,1418.13363,1393.564241,1411.769127,1423.606646,1447.404832,1459.933384,1472.943951,1490.829953,1503.004896,1521.617574,1541.780115,1504.184655,1525.740491,1511.843616,,1573.25029,1618.598901,1613.11606,1618.296625,1607.618225,1623.414468,1618.318482,1645.290179,1666.101829,1695.31086,1695.69696,1699.156741,1703.152673,1706.401926,1713.919346,1733.058375,1741.050709,1740.924287,1731.087663,1728.215849,1730.103857,1741.02352,1761.449953,1816.440623,1864.906667,1885.198349,1893.467842,1897.664974,1907.558104,1895.112643,1879.993354,1892.220736,1907.98017,1900.682494,1902.173668,1905.600612,1918.269493,1933.977238,1951.535253,1972.322049,1978.808963,1991.272582,1970.703178,1979.001396,1980.283979,2010.444452,2032.095719,2040.419714,2024.2387,2000.43153,1998.739129,2042.023428,2063.902606,2079.302273,2051.384367,2067.170552,2100.192843,2141.104126,2153.267737,2146.463687,2155.430972,2169.786958,2182.609042,2190.219839,2165.746362,2169.605376,2210.710785,2247.482752,2272.359995,2272.455166,2289.453391,2262.812475,2264.99911,2247.997989,2270.083732,2263.46738,2291.53907,2291.320684,2291.782125,2293.516943,2335.032696,2363.906268,2410.269773,2381.591711,2371.215482,2338.241485,2347.359514,2348.061668,2362.329722,2359.902216,2431.40246,2437.470047,2469.857535,2426.852737,2426.879091,2410.182687,2386.718848,2376.317251
96816,26,92335,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.618959,2172.296154,2196.681445,2227.411999,2262.998506,2299.592814,2290.402013,2283.609906,2296.931443,2307.007227,2348.001604,2341.06946,2374.469211,2320.856062,2359.23104,2313.668749,2389.501631,2438.595369,2466.65106,2457.874644,2443.214597,2495.60838,2480.880289,2462.356945,2465.576018,2482.651779,2536.133398,2561.610284,2565.668834,2561.620588,2535.214106,2623.622593,2624.444444
96083,27,90201,zip,CA,CA,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.244001,2160.168003,2178.719295,2095.57273,2128.953397,2241.536964,2281.66014,2316.549945,2294.583333
96107,28,90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1071.688647,1080.264373,1100.763286,1093.074768,1101.478943,1103.784273,1126.389065,1139.982706,1144.026205,1149.333778,1152.271346,1158.991823,1159.091256,1191.857491,1228.099997,1241.295238,1228.581582,1224.978961,1247.228199,1259.051216,1274.972715,1286.781326,1294.326565,1309.265273,1323.899542,1339.216325,1349.824817,1354.589689,1367.505135,1372.965646,1384.893012,1398.316844,1401.002605,1392.10422,1405.239395,1414.249999,1428.950037,1425.054989,1432.782514,1442.866821,1449.307732,1464.355269,1485.842106,1493.033233,1491.089831,1480.248061,1485.427831,1474.264094,1488.039548,1504.185651,1537.376316,1543.680546,1543.695923,1541.227285,1546.797734,1546.193342,1548.675175,1549.088963,1559.608222,1575.971996,1576.627251,1574.024274,1570.824021,1583.175849,1587.372982,1594.439214,1580.933851,1586.191883,1584.002203,1603.139341,1623.767641,1627.14617,1619.372966,1619.408661,1622.645716,1634.832592,1626.975991,1623.329507,1652.140133,1668.615626,1692.665705,1694.279646,1699.721834,1718.810981,1724.631881,1742.86438,1746.95312,1786.169623,1798.415872,1827.576904,1825.250618,1851.105734,1846.535228,1841.695936,1822.004896,1836.536312,1845.744818,1873.094771,1872.968708,1893.094254,1903.615293,1908.800812,1908.680063,1899.06869,1905.298324,1919.803189,1944.723586,1936.406842,1906.391414,1899.19874,1923.275712,1935.178956,1953.88125,1952.516686,1979.379443,1958.940818,1967.373524,1976.302679,1967.137051,1956.178387
96239,31,90805,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,1235.153602,1208.491314,1200.322633,1212.017846,1253.425817,1266.730249,1257.850985,1244.816809,1247.179898,1254.935832,1280.82466,1308.110911,1318.888263,1316.781337,1316.930576,1326.091697,1347.869009,1371.444423,1381.760644,1362.140635,1360.968387,1372.738865,1395.186564,1396.197931,1378.929526,1399.410688,1414.873854,1456.971702,1471.527258,1499.04158,1510.889174,1495.27801,1470.547885,1484.629356,1533.739949,1559.934078,1573.939467,1552.653138,1570.421416,1573.597821,1610.099222,1640.120702,1638.742661,1624.147488,1616.02338,1622.305178,1628.395598,1639.157003,1637.270538,1625.886902,1624.199604,1651.782849,1663.618069,1681.837609,1686.429734,1736.902412,1722.765964,1723.822478,1713.980138,1741.332554,1733.031861,1724.749801,1714.582638,1734.594955,1725.807565,1733.49406,1749.626565,1766.94616,1796.464434,1779.887113,1815.58594,1817.841369,1858.614066,1858.875513,1859.192421,1887.340447,1947.543578,1997.958031,2014.441074,1943.607713,1949.931469,1944.064683,1984.568964,1949.588955,1965.089795,1973.485547,2023.085694,2037.871327,2045.747198,2057.247068,2053.797867,2088.720514,2128.424749,2117.809687,2106.275525,2076.057449,2077.458905,2108.266178,2105.116642,2133.934354,2144.548409,2174.33393,2194.601455,2180.713729,2138.814815
97223,34,93307,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.225675,1515.103072,1645.020643,1660.850996,1647.786154,1627.821138,1651.982066,1740.03764,1753.320888,1796.125212,1758.393886,1758.035479,,1757.068132,1746.215424,1755.576975,1778.668681,1789.300983,1808.490416,1857.859,1888.989505,2006.206222,1984.295389,2004.566115,1877.269752,1860.30599,1871.849028,1906.972222
96125,35,90280,zip,CA,CA,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869.265915,1882.325475,1894.36567,1936.663369,1963.292738,1974.316938,1943.368474,1915.726581,1875.020147,1880.014947,1917.410683,1990.556801,2022.85042,2022.5
